"Suburb","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Bulleen","1095000.0","1170000.0","1300000.0","1230000.0","1105000.0","1177000.0","1355000.0","1386000.0","1400000.0","1300000.0"
"Doncaster","1176000.0","1297500.0","1368000.0","1320000.0","1270000.0","1280000.0","1500000.0","1500000.0","1547500.0","1480500.0"
"Doncaster East","1113500.0","1230000.0","1360000.0","1222000.0","1198000.0","1255000.0","1493500.0","1533000.0","1630000.0","1603500.0"
"Donvale","964000.0","970000.0","1200000.0","1182500.0","1140000.0","1195000.0","1337500.0","1440000.0","1438000.0","1514000.0"
"Doveton","348000.0","405000.0","490000.0","543500.0","472000.0","500000.0","579000.0","625000.0","561500.0","600000.0"
"Endeavour Hills","496500.0","550000.0","630500.0","651000.0","625000.0","670000.0","745000.0","810000.0","790500.0","815000.0"
"Gladstone Park","460000.0","525000.0","645000.0","630000.0","636500.0","640000.0","728000.0","730000.0","710000.0","712500.0"
"Greenvale","500000.0","510000.0","650000.0","720000.0","715000.0","720000.0","820000.0","881000.0","840000.0","870000.0"
"Keilor East","651000.0","720000.0","843000.0","830000.0","835000.0","842000.0","1000000.0","1000000.0","990000.0","1055000.0"
"Knoxfield","681000.0","741000.0","870000.0","815000.0","760000.0","810000.0","980000.0","965000.0","950000.0","931000.0"
"Lysterfield","780000.0","857500.0","995500.0","976500.0","956500.0","1009500.0","1132000.0","1267500.0","1307500.0","1331000.0"
"Park Orchards","1225000.0","1335000.0","1450000.0","1480000.0","1510000.0","1530000.0","1920000.0","1965000.0","1740000.0","1936000.0"
"Rowville","710000.0","778000.0","867000.0","838000.0","815500.0","838000.0","1000000.0","1080000.0","1090000.0","1055000.0"
"Scoresby","661000.0","700000.0","878500.0","835000.0","766500.0","785000.0","950000.0","970500.0","955500.0","970000.0"
"Templestowe","1180000.0","1260000.0","1415000.0","1308000.0","1292500.0","1381500.0","1603000.0","1628500.0","1695000.0","1650000.0"
"Templestowe Lower","1060000.0","1105500.0","1302000.0","1150000.0","1080000.0","1189000.0","1432500.0","1390000.0","1410000.0","1362000.0"
"The Basin","550000.0","595000.0","610000.0","682500.0","695000.0","739000.0","875000.0","864000.0","850000.0","881000.0"
"Tullamarine","472500.0","530000.0","655000.0","665500.0","612000.0","640000.0","755000.0","760000.0","720000.0","739000.0"
"Wantirna","764000.0","801000.0","953000.0","906500.0","850000.0","907000.0","1065000.0","1102500.0","1150000.0","1085000.0"
"Wantirna South","829000.0","875000.0","1005000.0","1000000.0","988500.0","1015000.0","1223500.0","1225000.0","1333000.0","1265000.0"
"Warrandyte","829000.0","890000.0","1042500.0","1110000.0","994000.0","996000.0","1285000.0","1300000.0","1271000.0","1360000.0"
"Westmeadows","470000.0","500000.0","566000.0","620000.0","620000.0","605000.0","716000.0","700000.0","727500.0","670000.0"
"Wonga Park","735000.0","801000.0","962500.0","1150000.0","1102000.0","1077500.0","1248000.0","1415000.0","1265000.0","1330000.0"
