Suburb,Year,Population,Area_km2,Density,SA2_components
Chelsea,2015,14396.0,5.423,2654.6192144569427,Chelsea - Bonbeach
Chelsea,2016,14833.0,5.423,2735.2019177576985,Chelsea - Bonbeach
Chelsea,2017,15057.0,5.423,2776.5074681910382,Chelsea - Bonbeach
Chelsea,2018,15210.0,5.423,2804.7206343352386,Chelsea - Bonbeach
Chelsea,2019,15317.0,5.423,2824.4514106583074,Chelsea - Bonbeach
Chelsea,2020,15426.0,5.423,2844.5509865388162,Chelsea - Bonbeach
Chelsea,2021,15317.0,5.423,2824.4514106583074,Chelsea - Bonbeach
Chelsea,2022,15339.0,5.423,2828.508205790153,Chelsea - Bonbeach
Chelsea,2023,15568.0,5.423,2870.735755117094,Chelsea - Bonbeach
Chelsea,2024,15842.0,5.423,2921.261294486447,Chelsea - Bonbeach
Laverton,2015,8334.0,22.2451,374.6443036893518,Laverton
Laverton,2016,9385.0,22.2451,421.89066356186305,Laverton
Laverton,2017,10255.0,22.2451,461.0004000881093,Laverton
Laverton,2018,10899.0,22.2451,489.9505958615605,Laverton
Laverton,2019,11499.0,22.2451,516.9228279486268,Laverton
Laverton,2020,11972.0,22.2451,538.1859375772642,Laverton
Laverton,2021,11643.0,22.2451,523.3961636495228,Laverton
Laverton,2022,11839.0,22.2451,532.2070927979645,Laverton
Laverton,2023,12359.0,22.2451,555.583027273422,Laverton
Laverton,2024,12672.0,22.2451,569.6535416788416,Laverton
Ringwood,2015,17654.0,9.9105,1781.3430200292617,Ringwood
Ringwood,2016,17931.0,9.9105,1809.2931739064627,Ringwood
Ringwood,2017,18301.0,9.9105,1846.6273144644567,Ringwood
Ringwood,2018,18504.0,9.9105,1867.1106402300588,Ringwood
Ringwood,2019,18876.0,9.9105,1904.6465869532312,Ringwood
Ringwood,2020,19158.0,9.9105,1933.101256243378,Ringwood
Ringwood,2021,18919.0,9.9105,1908.9854195045657,Ringwood
Ringwood,2022,18962.0,9.9105,1913.3242520559002,Ringwood
Ringwood,2023,19297.0,9.9105,1947.1267847232732,Ringwood
Ringwood,2024,19593.0,9.9105,1976.9940971696683,Ringwood
Mentone,2015,13332.0,4.45,2995.955056179775,Mentone
Mentone,2016,13695.0,4.45,3077.5280898876404,Mentone
Mentone,2017,13784.0,4.45,3097.5280898876404,Mentone
Mentone,2018,13813.0,4.45,3104.0449438202245,Mentone
Mentone,2019,13883.0,4.45,3119.775280898876,Mentone
Mentone,2020,13856.0,4.45,3113.7078651685392,Mentone
Mentone,2021,13303.0,4.45,2989.438202247191,Mentone
Mentone,2022,13347.0,4.45,2999.325842696629,Mentone
Mentone,2023,13702.0,4.45,3079.1011235955057,Mentone
Mentone,2024,13945.0,4.45,3133.7078651685392,Mentone
Preston,2015,33219.0,11.313600000000001,2936.2006788290196,Preston - East | Preston - West
Preston,2016,34059.0,11.313600000000001,3010.447602885023,Preston - East | Preston - West
Preston,2017,34474.0,11.313600000000001,3047.129118936501,Preston - East | Preston - West
Preston,2018,34666.0,11.313600000000001,3064.099844435016,Preston - East | Preston - West
