suburb,status,treated
alphington,completed,1.0
altona,completed,1.0
ardeer,underway,1.0
aspendale,planning,1.0
bayswater,completed,1.0
beaconsfield,planning,1.0
bentleigh,completed,1.0
berwick,completed,1.0
blackburn,completed,1.0
bonbeach,completed,1.0
broadmeadows,completed,1.0
brunswick,completed,1.0
calder park,planning,1.0
carnegie,completed,1.0
carrum,completed,1.0
caulfield,underway,1.0
chelsea,completed,1.0
cheltenham,completed,1.0
clayton,completed,1.0
coburg,completed,1.0
cranbourne,planning,1.0
cranbourne north,completed,1.0
croydon,planning,1.0
dandenong,completed,1.0
dandenong south,completed,1.0
deer park,underway,1.0
diggers rest,planning,1.0
edithvale,completed,1.0
essendon,completed,1.0
frankston,completed,1.0
glen iris,completed,1.0
glenhuntly,underway,1.0
glenroy,underway,1.0
grovedale,underway,1.0
hallam,completed,1.0
highett,planning,1.0
hoppers crossing,completed,1.0
hughesdale,completed,1.0
keilor downs,completed,1.0
keon park,planning,1.0
kooyong,completed,1.0
laverton,completed,1.0
lilydale,completed,1.0
lyndhurst,completed,1.0
macleod,planning,1.0
marshall,planning,1.0
mckinnon,completed,1.0
melbourne,completed,1.0
melton,planning,1.0
melton south,planning,1.0
mentone,completed,1.0
mitcham,completed,1.0
mont albert,underway,1.0
mooroolbark,completed,1.0
mordialloc,planning,1.0
murrumbeena,completed,1.0
narre warren,planning,1.0
newport,planning,1.0
noble park,completed,1.0
nunawading,completed,1.0
officer,planning,1.0
ormond,completed,1.0
pakenham,underway,1.0
parkdale,planning,1.0
parkville,planning,1.0
preston,underway,1.0
reservoir,completed,1.0
ringwood,completed,1.0
ringwood east,planning,1.0
rosanna,completed,1.0
seaford,completed,1.0
seymour,completed,1.0
south geelong,planning,1.0
spotswood,planning,1.0
springvale,completed,1.0
st albans,completed,1.0
sunbury,underway,1.0
sunshine,completed,1.0
surrey hills,underway,1.0
sydenham,completed,1.0
truganina,planning,1.0
wallace,completed,1.0
werribee,completed,1.0
williamstown,completed,1.0
wodonga,completed,1.0
yarraville,planning,1.0
