suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,status,treated
ALTONA,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0,completed,1.0
BAYSWATER,632500.0,693000.0,800500.0,753000.0,720000.0,745500.0,870000.0,902000.0,870000.0,862000.0,completed,1.0
BROADMEADOWS,370000.0,416500.0,546000.0,575000.0,525500.0,551500.0,590000.0,600000.0,560000.0,585000.0,completed,1.0
CARNEGIE,1300000.0,1348500.0,1510000.0,1445000.0,1313500.0,1420000.0,1776000.0,1687500.0,1675000.0,1715000.0,completed,1.0
CRANBOURNE,360000.0,406000.0,510000.0,540000.0,500000.0,510000.0,618000.0,660000.0,655000.0,660000.0,planning,1.0
CROYDON,605000.0,695000.0,809000.0,792500.0,735000.0,785000.0,920000.0,900000.0,920000.0,923000.0,planning,1.0
DEER PARK,390000.0,441000.0,552500.0,580000.0,550000.0,580000.0,630000.0,635000.0,640000.0,657500.0,underway,1.0
DIGGERS REST,325000.0,360000.0,440500.0,500000.0,515000.0,560000.0,613000.0,657500.0,660000.0,655000.0,planning,1.0
FRANKSTON,426000.0,474000.0,600000.0,605000.0,581000.0,621500.0,750000.0,764500.0,736000.0,740000.0,completed,1.0
HALLAM,424000.0,455000.0,580000.0,630000.0,550000.0,600000.0,700000.0,720000.0,720000.0,750000.0,completed,1.0
KEILOR DOWNS,496500.0,562000.0,670000.0,661000.0,630000.0,660000.0,765000.0,759000.0,770000.0,766500.0,completed,1.0
LAVERTON,377500.0,429000.0,535000.0,579000.0,529000.0,560000.0,605000.0,610000.0,582500.0,590000.0,completed,1.0
MELTON,255000.0,280500.0,369000.0,415000.0,385000.0,390000.0,455000.0,500000.0,470500.0,471000.0,planning,1.0
MENTONE,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000.0,1370000.0,1475000.0,1332500.0,1320000.0,completed,1.0
MURRUMBEENA,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000.0,1695000.0,1670000.0,1650000.0,1706000.0,completed,1.0
NEWPORT,825000.0,950000.0,1080000.0,1059000.0,1055000.0,1090000.0,1286500.0,1280000.0,1275000.0,1300000.0,planning,1.0
NUNAWADING,880000.0,970000.0,1090000.0,986000.0,951000.0,1038500.0,1250000.0,1146000.0,1189000.0,1152500.0,completed,1.0
RINGWOOD,777500.0,837500.0,910500.0,896500.0,801000.0,900000.0,1018000.0,1038000.0,999500.0,1025000.0,completed,1.0
RINGWOOD EAST,750000.0,806000.0,901000.0,881000.0,809000.0,861000.0,1050000.0,975000.0,1000000.0,1065000.0,planning,1.0
SEYMOUR,225000.0,242500.0,277000.0,295000.0,300000.0,325000.0,390000.0,450000.0,467500.0,445000.0,completed,1.0
SPRINGVALE,629500.0,685000.0,750000.0,780000.0,746500.0,785000.0,855000.0,886500.0,870000.0,850000.0,completed,1.0
SUNBURY,370000.0,395000.0,492000.0,546000.0,533500.0,571000.0,645000.0,670000.0,660000.0,665000.0,underway,1.0
SUNSHINE,530500.0,675000.0,765000.0,742000.0,720000.0,750000.0,870000.0,856500.0,800000.0,820000.0,completed,1.0
SYDENHAM,440000.0,505000.0,590000.0,615000.0,591500.0,635000.0,690000.0,697500.0,741500.0,704000.0,completed,1.0
