suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,status,treated
ARARAT,210000.0,204500.0,199000.0,199000.0,215000.0,244000.0,315000.0,380000.0,375000.0,380000.0,,0.0
BACCHUS MARSH,355000.0,376000.0,415500.0,480000.0,500000.0,520000.0,597000.0,665000.0,640000.0,610000.0,,0.0
BENALLA,222500.0,231500.0,250000.0,284000.0,290000.0,302000.0,394000.0,430500.0,425000.0,440000.0,,0.0
BENDIGO,372000.0,400000.0,400000.0,400000.0,420000.0,500000.0,600000.0,690000.0,540000.0,620000.0,,0.0
CAMBERWELL,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500.0,2569000.0,2650000.0,2538000.0,2600000.0,,0.0
CASTLEMAINE,380000.0,410000.0,435000.0,499000.0,520000.0,556500.0,680500.0,737000.0,727000.0,747000.0,,0.0
COBURG NORTH,665000.0,780000.0,822000.0,814000.0,805000.0,899000.0,1008500.0,1020000.0,985000.0,1071000.0,,0.0
COLAC,246500.0,259500.0,282500.0,320000.0,315000.0,350000.0,420000.0,500000.0,481000.0,463000.0,,0.0
DROUIN,320000.0,347000.0,390000.0,455000.0,440000.0,467000.0,565000.0,620000.0,621500.0,605000.0,,0.0
FRANKSTON SOUTH,620000.0,690000.0,815500.0,855000.0,817500.0,860000.0,1150000.0,1200000.0,1160000.0,1150000.0,,0.0
GEELONG,607500.0,590000.0,735000.0,757500.0,720000.0,883500.0,950000.0,900000.0,991500.0,870000.0,,0.0
GISBORNE,550000.0,635000.0,655000.0,770000.0,730000.0,810000.0,898500.0,1052500.0,1000000.0,915000.0,,0.0
HADFIELD,550000.0,624500.0,740500.0,741500.0,730000.0,745000.0,890000.0,888000.0,850000.0,850500.0,,0.0
HAMPTON,1650000.0,1800000.0,2020000.0,1905000.0,1900000.0,2000000.0,2420000.0,2350000.0,2385000.0,2480000.0,,0.0
KYNETON,425500.0,455000.0,495000.0,550000.0,595000.0,614000.0,755000.0,897500.0,775000.0,780000.0,,0.0
LARA,348000.0,355000.0,430000.0,515000.0,495000.0,535000.0,682500.0,700000.0,685000.0,678000.0,,0.0
NORTH MELBOURNE,943000.0,1200000.0,1380000.0,1185000.0,1375000.0,1151500.0,1335000.0,1381000.0,1220000.0,1311000.0,,0.0
PASCOE VALE,720000.0,805000.0,891000.0,901000.0,855000.0,947500.0,1050000.0,1110000.0,1025000.0,1047500.0,,0.0
PORT MELBOURNE,1252500.0,1380000.0,1485000.0,1488000.0,1400000.0,1600000.0,1802500.0,1646000.0,1755000.0,1600000.0,,0.0
ROCHESTER,235000.0,239000.0,242500.0,236000.0,255000.0,237000.0,350000.0,440000.0,262500.0,300000.0,,0.0
SOMERVILLE,425000.0,465000.0,580000.0,615000.0,600000.0,640000.0,780000.0,812000.0,765000.0,812500.0,,0.0
SOUTH MELBOURNE,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000.0,1710000.0,1882500.0,1640000.0,1532500.0,,0.0
STAWELL,177000.0,177000.0,188000.0,190000.0,189000.0,227000.0,290000.0,355000.0,319000.0,315000.0,,0.0
THOMASTOWN,437000.0,493000.0,654000.0,636000.0,592000.0,620000.0,720000.0,710000.0,691000.0,720000.0,,0.0
THORNBURY,918000.0,1079500.0,1230000.0,1137500.0,1150000.0,1252500.0,1500000.0,1455000.0,1410000.0,1430000.0,,0.0
