suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABBOTSFORD,8078.0,8770.0,9291.0,9527.0,9594.0,9672.0,9258.0,9450.0,9948.0,10207.0
AIRPORT WEST,7694.0,7903.0,8019.0,8169.0,8390.0,8362.0,8240.0,8273.0,8437.0,8612.0
ALBERT PARK,16053.0,16490.0,16500.0,16728.0,17081.0,16955.0,16011.0,16126.0,16811.0,17094.0
ALBION,2908.0,2974.0,3328.0,3663.0,3929.0,4192.0,4371.0,4541.0,4702.0,4813.0
ALEXANDRA,6404.0,6474.0,6550.0,6646.0,6687.0,6690.0,6771.0,6785.0,6820.0,6836.0
ALFREDTON,11039.0,11852.0,12649.0,13537.0,14434.0,15507.0,16841.0,17988.0,18966.0,20082.0
ALTONA,12979.0,13206.0,13443.0,13657.0,13861.0,13878.0,13655.0,13711.0,13877.0,14190.0
ALTONA MEADOWS,19818.0,20106.0,20164.0,20101.0,20031.0,19500.0,18660.0,18334.0,18604.0,18733.0
ALTONA NORTH,14519.0,14787.0,14999.0,15185.0,15400.0,15396.0,15084.0,15034.0,15342.0,15851.0
ARARAT,8324.0,8386.0,8405.0,8428.0,8465.0,8552.0,8470.0,8375.0,8311.0,8288.0
ARMADALE,9485.0,9619.0,9635.0,9906.0,10044.0,10075.0,9433.0,9343.0,9735.0,9934.0
ASCOT VALE,15219.0,15497.0,15683.0,15752.0,15774.0,15784.0,15351.0,15148.0,15674.0,16078.0
AVOCA,3317.0,3323.0,3351.0,3393.0,3422.0,3447.0,3501.0,3527.0,3578.0,3614.0
AVONDALE HEIGHTS,12022.0,12199.0,12329.0,12451.0,12628.0,12642.0,12473.0,12377.0,12556.0,12792.0
BACCHUS MARSH,20207.0,20989.0,21776.0,22493.0,23360.0,24263.0,25057.0,25618.0,26033.0,26531.0
BAIRNSDALE,14524.0,14899.0,15170.0,15405.0,15547.0,15563.0,15653.0,15743.0,15769.0,15724.0
BALWYN,16573.0,16679.0,16920.0,17081.0,17156.0,17031.0,16323.0,16286.0,16698.0,16901.0
BALWYN NORTH,21332.0,21440.0,21618.0,21780.0,21935.0,21930.0,21406.0,21306.0,21866.0,22276.0
BANNOCKBURN,6192.0,6549.0,6881.0,7130.0,7362.0,7608.0,7738.0,7933.0,8114.0,8266.0
BAYSWATER,12415.0,12584.0,12696.0,12818.0,12948.0,12992.0,12708.0,12692.0,13011.0,13270.0
BAYSWATER NORTH,12126.0,12257.0,12316.0,12392.0,12423.0,12332.0,11967.0,11829.0,11901.0,12007.0
BEAUFORT,4317.0,4454.0,4486.0,4448.0,4543.0,4606.0,4621.0,4595.0,4686.0,4811.0
BEAUMARIS,13995.0,14250.0,14275.0,14434.0,14404.0,14362.0,14123.0,13999.0,14199.0,14376.0
BEECHWORTH,4541.0,4632.0,4735.0,4801.0,4872.0,4936.0,4953.0,4897.0,4915.0,4933.0
BELMONT,14175.0,14312.0,14599.0,14754.0,14975.0,15096.0,15000.0,14926.0,14962.0,15085.0
BENALLA,10425.0,10420.0,10484.0,10553.0,10620.0,10699.0,10753.0,10711.0,10755.0,10833.0
BENDIGO,14753.0,14770.0,14844.0,14941.0,15072.0,15087.0,14955.0,14706.0,14566.0,14422.0
