suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABBOTSFORD,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000.0,1365000.0,1346000.0,1257500.0,1232500.0
AIRPORT WEST,635000.0,742000.0,845000.0,845000.0,795000.0,812500.0,960000.0,911000.0,952500.0,940000.0
ALBERT PARK,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1900000.0,2355000.0,2475000.0,2287500.0,2225000.0
ALBION,481000.0,593000.0,730000.0,755000.0,675000.0,727500.0,832500.0,830000.0,765000.0,735000.0
ALEXANDRA,285000.0,275000.0,291500.0,335000.0,325000.0,380000.0,440000.0,550000.0,477500.0,512500.0
ALFREDTON,340500.0,375000.0,412500.0,439000.0,480000.0,512000.0,605000.0,650000.0,640000.0,605000.0
ALTONA,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0
ALTONA MEADOWS,440000.0,495000.0,626500.0,631500.0,615000.0,640000.0,720000.0,740000.0,690000.0,717000.0
ALTONA NORTH,642500.0,725000.0,825000.0,835000.0,790000.0,832500.0,900500.0,940000.0,881000.0,917000.0
ARARAT,210000.0,204500.0,199000.0,199000.0,215000.0,244000.0,315000.0,380000.0,375000.0,380000.0
ARMADALE,2172500.0,2364000.0,2300000.0,2341500.0,2490000.0,2625000.0,2700000.0,2735500.0,2740000.0,2380000.0
ASCOT VALE,885000.0,1010000.0,1185000.0,1197500.0,1100000.0,1210000.0,1245000.0,1325000.0,1300500.0,1300000.0
AVOCA,182500.0,165000.0,212500.0,220000.0,219500.0,290000.0,325000.0,367500.0,350000.0,390000.0
AVONDALE HEIGHTS,650000.0,750000.0,845500.0,830000.0,810000.0,842500.0,965500.0,990000.0,938500.0,980500.0
BACCHUS MARSH,355000.0,376000.0,415500.0,480000.0,500000.0,520000.0,597000.0,665000.0,640000.0,610000.0
BAIRNSDALE,246500.0,255000.0,272500.0,279000.0,274000.0,290000.0,350000.0,440000.0,435000.0,430000.0
BALWYN,2210000.0,2180000.0,2340000.0,2420000.0,2377500.0,2260000.0,2750000.0,2862000.0,2965000.0,2868000.0
BALWYN NORTH,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1900000.0,2255500.0,2229000.0,2382500.0,2310000.0
BANNOCKBURN,393000.0,382000.0,430000.0,487500.0,530000.0,555000.0,680000.0,729500.0,710000.0,712500.0
BAYSWATER,632500.0,693000.0,800500.0,753000.0,720000.0,745500.0,870000.0,902000.0,870000.0,862000.0
BAYSWATER NORTH,580000.0,628000.0,737500.0,713000.0,695000.0,734500.0,855500.0,869500.0,843000.0,899000.0
BEAUFORT,205000.0,237500.0,220000.0,225000.0,242500.0,325000.0,390000.0,415000.0,405000.0,380000.0
BEAUMARIS,1345000.0,1455000.0,1611000.0,1674000.0,1587500.0,1725000.0,2100000.0,2061000.0,2055000.0,2061000.0
BEECHWORTH,332000.0,345000.0,399000.0,400000.0,478500.0,487500.0,645000.0,707000.0,720000.0,780000.0
BELMONT,395000.0,430000.0,500000.0,545000.0,545000.0,605000.0,730000.0,740000.0,682000.0,700000.0
BENALLA,222500.0,231500.0,250000.0,284000.0,290000.0,302000.0,394000.0,430500.0,425000.0,440000.0
BENDIGO,372000.0,400000.0,400000.0,400000.0,420000.0,500000.0,600000.0,690000.0,540000.0,620000.0
BROADMEADOWS,370000.0,416500.0,546000.0,575000.0,525500.0,551500.0,590000.0,600000.0,560000.0,585000.0
BROOKFIELD,340000.0,360000.0,425000.0,491500.0,445000.0,500000.0,539000.0,570000.0,560000.0,550000.0
BRUNSWICK EAST,888000.0,998000.0,1150000.0,1170000.0,1011500.0,1286500.0,1440000.0,1350000.0,1403000.0,1353000.0
BRUNSWICK WEST,863000.0,1002500.0,1155000.0,1160000.0,1061000.0,1180000.0,1324000.0,1285500.0,1277500.0,1327500.0
