suburb,2015_price,2016_price,2017_price,2018_price,2019_price,2020_price,2021_price,2022_price,2023_price,2024_price,status,treated,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop,2023_pop,2024_pop
ALTONA,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0,completed,1.0,12979.0,13206.0,13443.0,13657.0,13861.0,13878.0,13655.0,13711.0,13877.0,14190.0
BAYSWATER,632500.0,693000.0,800500.0,753000.0,720000.0,745500.0,870000.0,902000.0,870000.0,862000.0,completed,1.0,12415.0,12584.0,12696.0,12818.0,12948.0,12992.0,12708.0,12692.0,13011.0,13270.0
BROADMEADOWS,370000.0,416500.0,546000.0,575000.0,525500.0,551500.0,590000.0,600000.0,560000.0,585000.0,completed,1.0,13529.0,13916.0,14288.0,14555.0,14765.0,14747.0,14063.0,13921.0,14313.0,14734.0
CARNEGIE,1300000.0,1348500.0,1510000.0,1445000.0,1313500.0,1420000.0,1776000.0,1687500.0,1675000.0,1715000.0,completed,1.0,18645.0,19091.0,19288.0,19551.0,19686.0,19676.0,18791.0,18910.0,20056.0,20837.0
CRANBOURNE,360000.0,406000.0,510000.0,540000.0,500000.0,510000.0,618000.0,660000.0,655000.0,660000.0,planning,1.0,20568.0,20888.0,21207.0,21414.0,21516.0,21673.0,21581.0,21578.0,21983.0,22468.0
CROYDON,605000.0,695000.0,809000.0,792500.0,735000.0,785000.0,920000.0,900000.0,920000.0,923000.0,planning,1.0,11528.0,11516.0,11545.0,11571.0,11594.0,11456.0,11011.0,10958.0,11195.0,11318.0
DEER PARK,390000.0,441000.0,552500.0,580000.0,550000.0,580000.0,630000.0,635000.0,640000.0,657500.0,underway,1.0,18523.0,18850.0,19066.0,19291.0,19238.0,18976.0,18219.0,17960.0,18163.0,18398.0
DIGGERS REST,325000.0,360000.0,440500.0,500000.0,515000.0,560000.0,613000.0,657500.0,660000.0,655000.0,planning,1.0,2252.0,2447.0,2637.0,2989.0,3760.0,4651.0,5302.0,5829.0,6425.0,6946.0
FRANKSTON,426000.0,474000.0,600000.0,605000.0,581000.0,621500.0,750000.0,764500.0,736000.0,740000.0,completed,1.0,23135.0,23510.0,23738.0,23992.0,24129.0,24264.0,23909.0,23809.0,24132.0,24736.0
HALLAM,424000.0,455000.0,580000.0,630000.0,550000.0,600000.0,700000.0,720000.0,720000.0,750000.0,completed,1.0,11125.0,11335.0,11516.0,11697.0,11911.0,11968.0,11598.0,11554.0,11737.0,11898.0
KEILOR DOWNS,496500.0,562000.0,670000.0,661000.0,630000.0,660000.0,765000.0,759000.0,770000.0,766500.0,completed,1.0,13960.0,13943.0,13920.0,13870.0,13765.0,13567.0,13193.0,12974.0,12995.0,13036.0
LAVERTON,377500.0,429000.0,535000.0,579000.0,529000.0,560000.0,605000.0,610000.0,582500.0,590000.0,completed,1.0,8334.0,9385.0,10255.0,10899.0,11499.0,11972.0,11643.0,11839.0,12359.0,12672.0
MELTON,255000.0,280500.0,369000.0,415000.0,385000.0,390000.0,455000.0,500000.0,470500.0,471000.0,planning,1.0,8183.0,8281.0,8319.0,8338.0,8359.0,8261.0,7966.0,7893.0,7990.0,8017.0
MENTONE,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000.0,1370000.0,1475000.0,1332500.0,1320000.0,completed,1.0,13332.0,13695.0,13784.0,13813.0,13883.0,13856.0,13303.0,13347.0,13702.0,13945.0
MURRUMBEENA,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000.0,1695000.0,1670000.0,1650000.0,1706000.0,completed,1.0,9640.0,9809.0,9894.0,9897.0,9878.0,9771.0,9467.0,9526.0,9760.0,10010.0
NEWPORT,825000.0,950000.0,1080000.0,1059000.0,1055000.0,1090000.0,1286500.0,1280000.0,1275000.0,1300000.0,planning,1.0,18134.0,18523.0,18726.0,18975.0,19261.0,19414.0,18983.0,18928.0,19445.0,19879.0
