No.,Suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Chelsea,2654.6192144569427,2735.2019177576985,2776.5074681910382,2804.7206343352386,2824.4514106583074,2844.5509865388162,2824.4514106583074,2828.508205790153,2870.735755117094,2921.261294486447
2,Laverton,374.6443036893518,421.89066356186305,461.0004000881093,489.9505958615605,516.9228279486268,538.1859375772642,523.3961636495228,532.2070927979645,555.583027273422,569.6535416788416
3,Ringwood,1781.3430200292617,1809.2931739064627,1846.6273144644567,1867.1106402300588,1904.6465869532312,1933.101256243378,1908.9854195045657,1913.3242520559002,1947.1267847232732,1976.9940971696683
4,Mentone,2995.955056179775,3077.5280898876404,3097.5280898876404,3104.0449438202245,3119.775280898876,3113.7078651685392,2989.438202247191,2999.325842696629,3079.1011235955057,3133.7078651685392
5,Preston,2936.2006788290196,3010.447602885023,3047.129118936501,3064.099844435016,3080.628623957007,3095.743176354122,2989.4109744024886,2986.317352566822,3097.069014283694,3172.023051902135
6,Blackburn,2538.454389144477,2589.6881825363635,2625.819043635857,2642.1999163529904,2664.0410799758356,2675.774896603002,2597.2396486825596,2590.6175937543567,2660.0910822993633,2720.2704586644363
7,Beaconsfield,351.39532575645933,405.89107466699545,465.43940956923694,533.6192455406417,609.2877357497525,673.1067088116498,720.7754516500603,774.4291028953122,809.6769051707804,851.3005897691148
8,Essendon,3349.464029485412,3452.156542779169,3518.8363390822383,3548.0966716371718,3572.5740652167797,3590.861773063613,3464.535914244718,3447.0922544523537,3549.5034183946204,3622.654249781954
9,Glen Iris,2993.041069957405,3011.7968763694366,3042.2969727777872,3053.340111132535,3069.4665988886745,3045.627443075251,2980.9462041403003,2956.2306087749125,3015.1273466669004,3065.960840680818
10,Cranbourne,1578.8746449681432,1603.439011284256,1627.9266139556307,1643.816688416366,1651.646580179627,1663.6984724034699,1656.6362170875875,1656.405926153374,1687.4952022722039,1724.7255699700622
11,Campbellfield,935.4638279621922,941.4572187367693,944.0965100870417,944.9212886340018,942.7768644119055,928.425717694799,893.235166357833,871.9558798462614,890.1010078793845,901.1530404086503
12,Pakenham,478.71340608223807,507.98234362187094,529.9185551018217,549.0249539897259,566.9333300284427,582.0222212582958,587.1654572832559,597.6791405631947,613.501304399016,627.8052841069875
13,Lilydale,175.64181211299515,177.79939423139336,179.70099203065962,181.21861335122787,182.05056238840683,182.40711197576925,180.889490655201,181.8860010403934,182.95564980248068,187.343952416172
14,Bentleigh,3742.6496577873463,3789.4026541563576,3879.8560457568847,3952.315156967964,4045.017833617172,4088.3969024131616,4049.034414061245,4085.986954146718,4199.0938594518175,4298.062401593779
15,Clayton,2943.8771850115977,3009.3976422200435,3137.569047562113,3233.9367273249004,3308.0657117578135,3354.216982711208,2935.507783543366,3080.89624333437,3386.977211315431,3581.386451134652
