requested_suburb,SAL_CODE_2021,SAL_NAME_2021,sal_area_km2,SA2_CODE_2021,SA2_NAME_2021,overlap_share,sa2_area_km2,year,density
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2015,2654.62
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2016,2735.2
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2017,2776.51
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2018,2804.72
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2019,2824.45
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2020,2844.55
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2021,2824.45
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2022,2828.51
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2023,2870.74
Chelsea,20537,Chelsea,2.6247,208031186,Chelsea - Bonbeach,1.0,5.423,2024,2921.26
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2015,374.64
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2016,421.89
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2017,461.0
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2018,489.95
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2019,516.92
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2020,538.19
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2021,523.4
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2022,532.21
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2023,555.58
Laverton,21476,Laverton (Vic.),3.7597,213051363,Laverton,1.0,22.2451,2024,569.65
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2015,1781.34
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2016,1809.29
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2017,1846.63
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2018,1867.11
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2019,1904.65
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2020,1933.1
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2021,1908.99
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2022,1913.32
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2023,1947.13
Ringwood,22174,Ringwood (Vic.),10.1206,211031266,Ringwood,0.969,9.9105,2024,1976.99
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2015,2995.96
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2016,3077.53
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2017,3097.53
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2018,3104.04
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2019,3119.78
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2020,3113.71
Mentone,21648,Mentone,4.528,208031190,Mentone,0.9828,4.45,2021,2989.44
