Suburb,Year,Population,Area_km2,Density
Sunshine,2018,10318.0,7.3,1413.4246575342465
Sunshine,2019,10306.0,7.3,1411.7808219178082
Sunshine,2020,10100.0,7.3,1383.5616438356165
Sunshine,2021,9568.0,7.3,1310.6849315068494
Sunshine,2022,9601.0,7.3,1315.2054794520548
Sunshine,2023,9910.0,7.3,1357.5342465753424
Sunshine,2024,10059.0,7.3,1377.9452054794522
Sunshine,2025,10151.0,7.3,1390.5479452054794
Bundoora - East,2018,10359.0,15.0,690.6
Bundoora - East,2019,10372.0,15.0,691.4666666666667
Bundoora - East,2020,10295.0,15.0,686.3333333333334
Bundoora - East,2021,9920.0,15.0,661.3333333333334
Bundoora - East,2022,9814.0,15.0,654.2666666666667
Bundoora - East,2023,9993.0,15.0,666.2
Bundoora - East,2024,10196.0,15.0,679.7333333333333
Bundoora - East,2025,10339.0,15.0,689.2666666666667
Coburg - East,2018,13379.0,7.0,1911.2857142857142
Coburg - East,2019,13397.0,7.0,1913.857142857143
Coburg - East,2020,13265.0,7.0,1895.0
Coburg - East,2021,12675.0,7.0,1810.7142857142858
Coburg - East,2022,12901.0,7.0,1843.0
Coburg - East,2023,13482.0,7.0,1926.0
Coburg - East,2024,13887.0,7.0,1983.857142857143
Coburg - East,2025,14457.0,7.0,2065.285714285714
Brunswick East,2018,12392.0,5.2,2383.076923076923
Brunswick East,2019,12602.0,5.2,2423.4615384615386
Brunswick East,2020,13064.0,5.2,2512.3076923076924
Brunswick East,2021,12964.0,5.2,2493.076923076923
Brunswick East,2022,13238.0,5.2,2545.7692307692305
Brunswick East,2023,13691.0,5.2,2632.8846153846152
Brunswick East,2024,14328.0,5.2,2755.3846153846152
Brunswick East,2025,14693.0,5.2,2825.576923076923
