Suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABBOTSFORD,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000.0,1365000.0,1346000.0,1257500.0,1232500.0
ABERFELDIE,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000.0,1858000.0,1915000.0,1631000.0,1950000.0
AIREYS INLET,680000.0,715000.0,737500.0,869000.0,985000.0,1132500.0,1775000.0,1725000.0,1637500.0,1605000.0
AIRPORT WEST,635000.0,742000.0,845000.0,845000.0,795000.0,812500.0,960000.0,911000.0,952500.0,940000.0
ALBANVALE,345000.0,439000.0,526500.0,546000.0,512000.0,545000.0,610000.0,600000.0,595000.0,613000.0
ALBERT PARK,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1900000.0,2355000.0,2475000.0,2287500.0,2225000.0
ALBION,481000.0,593000.0,730000.0,755000.0,675000.0,727500.0,832500.0,830000.0,765000.0,735000.0
ALEXANDRA,285000.0,275000.0,291500.0,335000.0,325000.0,380000.0,440000.0,550000.0,477500.0,512500.0
ALFREDTON,340500.0,375000.0,412500.0,439000.0,480000.0,512000.0,605000.0,650000.0,640000.0,605000.0
ALPHINGTON,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000.0,2253000.0,2195000.0,2110000.0,2080000.0
ALTONA,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0
ALTONA EAST,650000.0,800000.0,900000.0,909000.0,857500.0,870000.0,980000.0,1100000.0,1025000.0,1090000.0
ALTONA MEADOWS,440000.0,495000.0,626500.0,631500.0,615000.0,640000.0,720000.0,740000.0,690000.0,717000.0
ALTONA NORTH,642500.0,725000.0,825000.0,835000.0,790000.0,832500.0,900500.0,940000.0,881000.0,917000.0
ANGLESEA,635000.0,652500.0,788000.0,870000.0,915000.0,1100000.0,1440000.0,1717500.0,1550000.0,1460000.0
APOLLO BAY,435000.0,480000.0,545000.0,555000.0,600000.0,710000.0,924500.0,1000000.0,1080000.0,900000.0
ARARAT,210000.0,204500.0,199000.0,199000.0,215000.0,244000.0,315000.0,380000.0,375000.0,380000.0
ARDEER,381500.0,517500.0,595000.0,629000.0,572000.0,615000.0,719000.0,682000.0,628500.0,680000.0
ARMADALE,2172500.0,2364000.0,2300000.0,2341500.0,2490000.0,2625000.0,2700000.0,2735500.0,2740000.0,2380000.0
ARMSTRONG CREEK,440000.0,450000.0,471000.0,535000.0,529500.0,545500.0,660000.0,720000.0,675000.0,657000.0
ASCOT (GREATER BENDIGO),350000.0,371000.0,358000.0,380000.0,415500.0,470000.0,562500.0,595000.0,609500.0,607500.0
ASCOT VALE,885000.0,1010000.0,1185000.0,1197500.0,1100000.0,1210000.0,1245000.0,1325000.0,1300500.0,1300000.0
ASHBURTON,1435000.0,1567500.0,1812500.0,1712500.0,1641500.0,1600000.0,2000000.0,1986000.0,2015000.0,1907000.0
ASHWOOD,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1250500.0,1450000.0,1567500.0,1455000.0,1442500.0
ASPENDALE,795500.0,891000.0,1125000.0,980000.0,994000.0,1120000.0,1321500.0,1440000.0,1360000.0,1315000.0
ASPENDALE GARDENS,715000.0,775000.0,882500.0,935000.0,844000.0,970000.0,1130500.0,1150000.0,1117000.0,1210500.0
ATTWOOD,620000.0,660000.0,742500.0,750000.0,767500.0,750000.0,970000.0,990500.0,950000.0,930000.0
AVENEL,245000.0,250000.0,355000.0,349000.0,370000.0,450000.0,455000.0,497500.0,557500.0,547500.0
AVOCA,182500.0,165000.0,212500.0,220000.0,219500.0,290000.0,325000.0,367500.0,350000.0,390000.0
AVONDALE HEIGHTS,650000.0,750000.0,845500.0,830000.0,810000.0,842500.0,965500.0,990000.0,938500.0,980500.0
BACCHUS MARSH,355000.0,376000.0,415500.0,480000.0,500000.0,520000.0,597000.0,665000.0,640000.0,610000.0
BADGER CREEK,345000.0,379000.0,465000.0,500000.0,498000.0,550000.0,665000.0,715000.0,732500.0,650500.0
BAIRNSDALE,246500.0,255000.0,272500.0,279000.0,274000.0,290000.0,350000.0,440000.0,435000.0,430000.0
BALACLAVA,1100000.0,1242500.0,1385500.0,1190000.0,1405000.0,1418000.0,1550000.0,1527000.0,1500000.0,1377500.0
BALCOMBE,871000.0,950000.0,1100000.0,1240000.0,1125000.0,1300000.0,1750000.0,1852500.0,1758500.0,1602500.0
BALLAN,359000.0,370000.0,417000.0,462000.0,450000.0,505000.0,603500.0,640000.0,607500.0,630000.0
BALLARAT CENTRAL,353000.0,385000.0,430000.0,447500.0,515000.0,560000.0,710000.0,687500.0,611500.0,575000.0
BALLARAT EAST,275000.0,295000.0,310000.0,340000.0,360000.0,398000.0,490000.0,530000.0,520000.0,466000.0
BALLARAT NORTH,315000.0,339500.0,346500.0,389000.0,417500.0,425000.0,568500.0,627500.0,620000.0,540000.0
BALNARRING,595000.0,670000.0,815000.0,814500.0,825000.0,938500.0,1275000.0,1330000.0,1250000.0,1305000.0
BALNARRING BEACH,887500.0,904000.0,890000.0,1115000.0,1275000.0,1250000.0,1635000.0,1847500.0,2150000.0,1650000.0
BALWYN,2210000.0,2180000.0,2340000.0,2420000.0,2377500.0,2260000.0,2750000.0,2862000.0,2965000.0,2868000.0
BALWYN NORTH,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1900000.0,2255500.0,2229000.0,2382500.0,2310000.0
BANNOCKBURN,393000.0,382000.0,430000.0,487500.0,530000.0,555000.0,680000.0,729500.0,710000.0,712500.0
BARANDUDA,323000.0,350000.0,350000.0,403500.0,395000.0,436000.0,487000.0,650000.0,610000.0,642500.0
BARWON HEADS,775000.0,842500.0,916000.0,965000.0,1024000.0,1280000.0,1590000.0,1800000.0,1836500.0,1463000.0
BAXTER,340000.0,403000.0,530000.0,542500.0,530000.0,567500.0,710000.0,717500.0,692500.0,725000.0
BAYSWATER,632500.0,693000.0,800500.0,753000.0,720000.0,745500.0,870000.0,902000.0,870000.0,862000.0
BAYSWATER NORTH,580000.0,628000.0,737500.0,713000.0,695000.0,734500.0,855500.0,869500.0,843000.0,899000.0
BEACONSFIELD,559000.0,585000.0,694500.0,730000.0,685000.0,711000.0,892000.0,940000.0,920000.0,990000.0
BEAUFORT,205000.0,237500.0,220000.0,225000.0,242500.0,325000.0,390000.0,415000.0,405000.0,380000.0
BEAUMARIS,1345000.0,1455000.0,1611000.0,1674000.0,1587500.0,1725000.0,2100000.0,2061000.0,2055000.0,2061000.0
BEECHWORTH,332000.0,345000.0,399000.0,400000.0,478500.0,487500.0,645000.0,707000.0,720000.0,780000.0
BELGRAVE,482500.0,545000.0,620000.0,676000.0,636000.0,680000.0,784000.0,850000.0,815000.0,800000.0
BELL PARK,340000.0,360000.0,400000.0,452500.0,482000.0,500000.0,620500.0,640000.0,610000.0,620000.0
BELL POST HILL,344500.0,355000.0,435000.0,487000.0,475000.0,507000.0,657500.0,675000.0,620000.0,670000.0
BELLFIELD (BANYULE),700000.0,778000.0,897000.0,882500.0,790000.0,775000.0,992500.0,965000.0,950000.0,951000.0
BELMONT,395000.0,430000.0,500000.0,545000.0,545000.0,605000.0,730000.0,740000.0,682000.0,700000.0
BENALLA,222500.0,231500.0,250000.0,284000.0,290000.0,302000.0,394000.0,430500.0,425000.0,440000.0
BENDIGO,372000.0,400000.0,400000.0,400000.0,420000.0,500000.0,600000.0,690000.0,540000.0,620000.0
BENTLEIGH,1245000.0,1380000.0,1470000.0,1394000.0,1376000.0,1510000.0,1747000.0,1726500.0,1691000.0,1641500.0
BROADMEADOWS,370000.0,416500.0,546000.0,575000.0,525500.0,551500.0,590000.0,600000.0,560000.0,585000.0
BROOKFIELD,340000.0,360000.0,425000.0,491500.0,445000.0,500000.0,539000.0,570000.0,560000.0,550000.0
BROWN HILL,270000.0,338000.0,350000.0,405000.0,449000.0,487500.0,600000.0,601000.0,745000.0,625000.0
BRUNSWICK,861000.0,947000.0,1200000.0,1100000.0,1037500.0,1100000.0,1350000.0,1330000.0,1300000.0,1300000.0
BRUNSWICK EAST,888000.0,998000.0,1150000.0,1170000.0,1011500.0,1286500.0,1440000.0,1350000.0,1403000.0,1353000.0
BRUNSWICK WEST,863000.0,1002500.0,1155000.0,1160000.0,1061000.0,1180000.0,1324000.0,1285500.0,1277500.0,1327500.0
BULLEEN,1095000.0,1170000.0,1300000.0,1230000.0,1105000.0,1177000.0,1355000.0,1386000.0,1400000.0,1300000.0
BUNDOORA,600500.0,652000.0,753000.0,730000.0,732500.0,745000.0,865000.0,853000.0,855000.0,865000.0
BUNINYONG,364500.0,381000.0,470000.0,467500.0,475000.0,587500.0,666000.0,770000.0,680000.0,698500.0
BUNYIP,420000.0,357500.0,437500.0,550000.0,500500.0,541500.0,652500.0,750000.0,730000.0,700000.0
BURNSIDE,415000.0,518500.0,572500.0,605000.0,605000.0,660000.0,720000.0,780000.0,752500.0,730000.0
BURNSIDE HEIGHTS,460000.0,522000.0,590000.0,633000.0,591000.0,652500.0,701000.0,749000.0,740000.0,749000.0
BURWOOD,1190000.0,1219000.0,1357000.0,1320000.0,1170000.0,1277500.0,1430000.0,1381000.0,1495000.0,1370000.0
BURWOOD EAST,982000.0,1021000.0,1126500.0,1005000.0,1106000.0,1168500.0,1250500.0,1259000.0,1281000.0,1285500.0
CAIRNLEA,540000.0,608500.0,710000.0,734000.0,752500.0,807500.0,850000.0,941500.0,940000.0,932500.0
CALIFORNIA GULLY,255000.0,255000.0,250000.0,275000.0,287000.0,318000.0,415000.0,463000.0,461000.0,458000.0
CAMBERWELL,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500.0,2569000.0,2650000.0,2538000.0,2600000.0
CAMPBELLFIELD,374500.0,420000.0,507000.0,550000.0,533000.0,537500.0,602500.0,605000.0,605000.0,620000.0
CAMPBELLS CREEK,387500.0,426500.0,380000.0,460500.0,500000.0,522500.0,652500.0,710000.0,722500.0,680000.0
CAMPERDOWN,218000.0,217500.0,240000.0,235000.0,280000.0,292500.0,362500.0,415000.0,470000.0,429000.0
CANADIAN,345000.0,339000.0,334500.0,373000.0,375000.0,422500.0,490000.0,580000.0,529000.0,490000.0
CANTERBURY,2523000.0,2620000.0,3140000.0,2533000.0,2902500.0,2705000.0,3389000.0,3460000.0,3380000.0,3212500.0
CAPE PATERSON,350000.0,358000.0,407500.0,442000.0,540000.0,635500.0,782500.0,880000.0,804500.0,845000.0
CAPEL SOUND,390000.0,442500.0,542500.0,550000.0,520000.0,582500.0,775000.0,815000.0,740000.0,722500.0
CARISBROOK,200000.0,200000.0,245000.0,232500.0,300000.0,301500.0,364000.0,485000.0,410000.0,587500.0
CARLTON,830000.0,1050000.0,1470000.0,1625000.0,1308000.0,1452500.0,1492500.0,1512500.0,1500000.0,1390000.0
CARLTON NORTH,1177500.0,1360000.0,1628000.0,1445000.0,1555000.0,1500000.0,1712000.0,1660000.0,1490000.0,1515000.0
CARNEGIE,1300000.0,1348500.0,1510000.0,1445000.0,1313500.0,1420000.0,1776000.0,1687500.0,1675000.0,1715000.0
CAROLINE SPRINGS,480000.0,530000.0,611000.0,620000.0,620000.0,650000.0,720000.0,750000.0,731000.0,743500.0
CARRUM,611000.0,750000.0,835500.0,860000.0,770000.0,830500.0,967000.0,965000.0,1030000.0,1040000.0
CARRUM DOWNS,370000.0,430000.0,525000.0,575000.0,537000.0,575000.0,665000.0,705000.0,697500.0,716500.0
CASTERTON,100000.0,126500.0,142000.0,132500.0,150000.0,161500.0,200000.0,300000.0,290000.0,275000.0
CASTLEMAINE,380000.0,410000.0,435000.0,499000.0,520000.0,556500.0,680500.0,737000.0,727000.0,747000.0
CAULFIELD,1650000.0,1715000.0,1885000.0,1701000.0,1762500.0,1818500.0,2060000.0,2079000.0,1786000.0,2335000.0
CAULFIELD NORTH,1875000.0,2181000.0,2285000.0,1960000.0,2112000.0,2360000.0,2697500.0,2650000.0,2620000.0,2450000.0
CAULFIELD SOUTH,1375000.0,1517500.0,1690000.0,1600000.0,1494500.0,1750000.0,1950000.0,1845000.0,1970000.0,1800000.0
CHADSTONE,925000.0,1017500.0,1131000.0,1050000.0,958000.0,1095000.0,1255000.0,1172500.0,1295000.0,1224000.0
CHARLTON,179500.0,160000.0,136000.0,150000.0,147000.0,149500.0,195000.0,300000.0,320000.0,297000.0
CHELSEA,730000.0,890000.0,914000.0,905000.0,856500.0,980000.0,1167500.0,1140000.0,1180000.0,1210000.0
CHELSEA HEIGHTS,598000.0,641000.0,750000.0,778000.0,750000.0,805000.0,977500.0,935000.0,906500.0,932500.0
CHELTENHAM,867000.0,942500.0,1170000.0,1105000.0,1035000.0,1130000.0,1306000.0,1350000.0,1335000.0,1332500.0
CHELTENHAM EAST,770000.0,867500.0,982500.0,940000.0,940000.0,1010500.0,1190000.0,1157500.0,1150000.0,1119500.0
CHELTENHAM NORTH,745000.0,895000.0,1018000.0,925000.0,913000.0,921500.0,1015000.0,1050000.0,1050000.0,1031000.0
CHILTERN,220000.0,250000.0,240000.0,260000.0,223500.0,321000.0,330000.0,395000.0,390000.0,462000.0
CHIRNSIDE PARK,542500.0,627000.0,735000.0,700000.0,680500.0,750000.0,900000.0,920000.0,900000.0,890500.0
CHURCHILL,172500.0,182000.0,175000.0,180000.0,185000.0,226000.0,305000.0,360000.0,345000.0,355000.0
CLARINDA,682500.0,751000.0,866000.0,802500.0,820000.0,851500.0,1024500.0,1060000.0,950000.0,985500.0
CLAYTON,976000.0,1010500.0,1250000.0,1255000.0,1158000.0,1055000.0,1200000.0,1105000.0,1170000.0,1165000.0
CLAYTON NORTH,1100000.0,1100000.0,1234500.0,1330000.0,1377500.0,1330000.0,1300000.0,1345000.0,1306000.0,1305000.0
CLAYTON SOUTH,687500.0,755000.0,850500.0,850000.0,832000.0,830000.0,982500.0,975000.0,950000.0,961500.0
CLIFTON HILL,1085000.0,1220000.0,1390000.0,1364500.0,1348000.0,1375000.0,1750000.0,1710000.0,1785000.0,1505000.0
CLIFTON SPRINGS,345000.0,365000.0,420000.0,472000.0,485000.0,518500.0,666000.0,710000.0,670000.0,672000.0
CLUNES,245000.0,255000.0,263000.0,354000.0,320000.0,357500.0,450000.0,500000.0,510000.0,500000.0
CLYDE,397000.0,435000.0,430000.0,505000.0,542500.0,572000.0,613000.0,680000.0,676500.0,695000.0
CLYDE NORTH,410000.0,491000.0,550000.0,595000.0,570000.0,605000.0,660000.0,731000.0,720000.0,725000.0
COBDEN,178500.0,177000.0,263000.0,225000.0,237000.0,272000.0,349000.0,386000.0,395000.0,355000.0
COBRAM,236000.0,265000.0,255000.0,255000.0,272500.0,300000.0,370000.0,414000.0,437500.0,405000.0
COBURG,778000.0,876000.0,1000000.0,966500.0,935500.0,1085000.0,1257500.0,1213000.0,1183000.0,1150000.0
COBURG EAST,675000.0,762500.0,865000.0,841500.0,825000.0,981000.0,1102000.0,1072500.0,1130000.0,1082500.0
COBURG NORTH,665000.0,780000.0,822000.0,814000.0,805000.0,899000.0,1008500.0,1020000.0,985000.0,1071000.0
COCKATOO,385500.0,430000.0,539500.0,591000.0,580000.0,610000.0,730500.0,770000.0,760000.0,737500.0
COHUNA,175000.0,157500.0,180000.0,177500.0,204000.0,232500.0,260000.0,285000.0,325000.0,350000.0
COLAC,246500.0,259500.0,282500.0,320000.0,315000.0,350000.0,420000.0,500000.0,481000.0,463000.0
COLDSTREAM,441000.0,521000.0,597500.0,660000.0,635000.0,648000.0,767000.0,780000.0,805000.0,826000.0
COLERAINE,96000.0,90000.0,133000.0,114000.0,144000.0,129000.0,174000.0,282000.0,205000.0,265000.0
COLLINGWOOD,914000.0,920000.0,1205000.0,1110000.0,1060000.0,1155000.0,1251500.0,1289000.0,1225000.0,1184000.0
COOLAROO,302500.0,340000.0,451000.0,480000.0,441000.0,477000.0,500000.0,530000.0,530500.0,540000.0
COONANS HILL,743000.0,870000.0,963000.0,927000.0,902500.0,1055000.0,1213000.0,1207500.0,1205000.0,1175000.0
CORINELLA,370000.0,325000.0,391000.0,450000.0,357500.0,510000.0,670000.0,777500.0,695000.0,657500.0
CORIO,240000.0,250000.0,305000.0,370000.0,351500.0,390000.0,457000.0,520000.0,480000.0,488000.0
CORONET BAY,240000.0,266000.0,325500.0,345000.0,370000.0,407500.0,522500.0,635000.0,580000.0,520000.0
CORRYONG,160000.0,164000.0,180000.0,162500.0,236000.0,226500.0,240000.0,310000.0,320000.0,316500.0
COWES,412500.0,400000.0,440000.0,541000.0,557500.0,589500.0,880000.0,875000.0,800000.0,801000.0
COWES WEST,329000.0,353500.0,390000.0,485500.0,508500.0,545000.0,705000.0,820000.0,779500.0,730000.0
CRAIGIEBURN,390000.0,425000.0,502500.0,546500.0,525000.0,560000.0,615000.0,660000.0,650000.0,660000.0
CRANBOURNE,360000.0,406000.0,510000.0,540000.0,500000.0,510000.0,618000.0,660000.0,655000.0,660000.0
CRANBOURNE EAST,437000.0,460000.0,535000.0,574500.0,567000.0,590000.0,670000.0,720000.0,708000.0,720000.0
CRANBOURNE NORTH,410000.0,455000.0,541000.0,600000.0,570000.0,587500.0,653500.0,720000.0,710000.0,732000.0
CRANBOURNE WEST,350000.0,410000.0,510500.0,540000.0,508000.0,510000.0,600000.0,680000.0,660000.0,685000.0
CREMORNE,1030000.0,1072000.0,1230000.0,1420000.0,1290000.0,1410000.0,1500000.0,1315000.0,1335000.0,1237500.0
CRESWICK,265000.0,292500.0,311500.0,324000.0,350000.0,387500.0,500000.0,545000.0,525000.0,515000.0
CRIB POINT,350000.0,402000.0,502500.0,555000.0,527500.0,578500.0,740000.0,785000.0,755000.0,745000.0
