AUSTRALIAN BUREAU OF STATISTICS 2021 Census of Population and Housing,,,List of tables
Coburg (ILOC20101503) 18.3 sq Kms,,,Find out more:
,,,Indigenous status
I04 SELECTED MEDIANS AND AVERAGES,,,Indigenous household indicator
,,,Age
,,,Total personal income (weekly)
,,,Total household income (weekly)
,,,Mortgage repayments (monthly)
,,,Rent (weekly)
,,,Number of bedrooms in private dwelling
,,,Number of persons usually resident in dwelling
,,,Housing suitability
,,,
,Aboriginal and/or Torres,Non-Indigenous,
,Strait Islander persons,persons(a),Total
,,,
Median age of persons,26,37,37
,,,
Median total personal income ($/weekly),825,915,915
,,,
,Households with Aboriginal and/or ,,
,Torres Strait Islander persons(b), Other households,Total
,,,
Median total household income ($/weekly),2110,2082,2082
,,,
Median mortgage repayment ($/monthly),2000,2167,2167
,,,
Median rent ($/weekly)(c),421,415,416
,,,
Average number of persons per bedroom,1,0.9,0.9
,,,
Average household size,2.8,2.5,2.5
,,,
Proportion of dwellings that need 1 or more extra bedrooms (%),8.2,3.7,3.7
,,,
(a) Includes persons who did not state their Indigenous status.,,,
(b) A household with Aboriginal and Torres Strait Islander person(s) is any household that had at least one person of any age as a resident at the time of the Census who identified as being of Aboriginal and/or Torres,,,
     Strait Islander origin.,,,
,,,
Median age of persons excludes overseas visitors.,,,
,,,
Median total personal income is applicable to persons aged 15 years and over.,,,
,,,
Median total household income is applicable to occupied private dwellings. It excludes households where at least one member aged 15 years and over did not state an income and households,,,
where at least one member aged 15 years and over was temporarily absent on Census Night. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,
,,,
Median mortgage repayment is applicable to occupied private dwellings being purchased and includes dwellings being purchased under a rent/buy scheme. It excludes 'Visitors only' and 'Other,,,
non-classifiable' households. ,,,
,,,
Median rent is applicable to occupied private dwellings being rented. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,
"(c) For 2021, median rent calculations exclude dwellings being 'Occupied rent-free' and will not be comparable to 2016 Census data.",,,
,,,
Average number of persons per bedroom is applicable to occupied private dwellings. It excludes 'Visitors only' and 'Other non-classifiable' households. ,,,
,,,
"Average household size is applicable to number of persons usually resident in occupied private dwellings. It includes partners, children, and co-tenants (in group households) who were temporarily",,,
absent on Census Night. A maximum of three temporary absentees can be counted in each household. It excludes 'Visitors only' and 'Other non-classifiable' households.,,,
,,,
"Proportion of dwellings that need 1 or more extra bedrooms is applicable to occupied private dwellings, excluding 'Visitors only' and 'Other non-classifiable' households. It is a comparison of the ",,,
"number of bedrooms in a dwelling with a series of household demographics, such as the number of usual residents, their relationship to each other, age and sex. It is based on the Canadian ",,,
National Occupancy Standard. See the 2021 Dictionary for more detail. ,,,
